ID;email;userName;password;rol;imagenPerfil;bonos
618f1a2b3c4d5e6f7a8b9c5b;usuario1@example.com;user1;**************;admin;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[618f1a2b3c4d5e6f7a8b9c48]
618f1a2b3c4d5e6f7a8b9c5c;usuario2@example.com;user2;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
618f1a2b3c4d5e6f7a8b9c5d;usuario3@example.com;user3;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
618f1a2b3c4d5e6f7a8b9c5e;usuario4@example.com;user4;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
618f1a2b3c4d5e6f7a8b9c5f;usuario5@example.com;user5;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
618f1a2b3c4d5e6f7a8b9c60;usuario6@example.com;user6;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
618f1a2b3c4d5e6f7a8b9c61;usuario7@example.com;user7;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
618f1a2b3c4d5e6f7a8b9c62;usuario8@example.com;user8;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
618f1a2b3c4d5e6f7a8b9c63;usuario9@example.com;user9;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
618f1a2b3c4d5e6f7a8b9c64;usuario10@example.com;user10;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
618f1a2b3c4d5e6f7a8b9c65;usuario11@example.com;user11;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
618f1a2b3c4d5e6f7a8b9c66;usuario12@example.com;user12;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
618f1a2b3c4d5e6f7a8b9c67;usuario13@example.com;user13;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
618f1a2b3c4d5e6f7a8b9c68;usuario14@example.com;user14;**************;user;https://res.cloudinary.com/dq2daoeex/image/upload/c_thumb,w_200,g_face/v1723660717/Proyecto10/oy1tksyz1ycc1edxcfqb.jpg;[]
